DECLARE @DB_Users TABLE (DBName sysname, UserName sysname, LoginType sysname
, AssociatedRole varchar(max), create_date datetime, modify_date datetime)

INSERT @DB_Users
EXEC sp_MSforeachdb
'use [?]
SELECT ''?'' AS DB_Name,
case prin.name when ''dbo'' then prin.name + '' (''
    + (select SUSER_SNAME(owner_sid) from master.sys.databases where name =''?'') + '')''
    else prin.name end AS UserName,
    prin.type_desc AS LoginType,
    isnull(USER_NAME(mem.role_principal_id),'''') AS AssociatedRole, 
    create_date, modify_date
FROM sys.database_principals prin
LEFT OUTER JOIN sys.database_role_members mem
    ON prin.principal_id=mem.member_principal_id
WHERE prin.sid IS NOT NULL and prin.sid NOT IN (0x00)
and prin.is_fixed_role <> 1 AND prin.name NOT LIKE ''##%'''

SELECT dbname, username, logintype, create_date, modify_date,
    STUFF((SELECT ',' + CONVERT(VARCHAR(500), associatedrole)
        FROM @DB_Users user2
        WHERE user1.DBName=user2.DBName AND user1.UserName=user2.UserName
        FOR XML PATH('')
    ),1,1,'') AS Permissions_user
FROM @DB_Users user1
--WHERE 
--user1.UserName = N'<put your login-name here!>'
GROUP BY dbname, username, logintype, create_date, modify_date
ORDER BY DBName, username

dbname	username	logintype	create_date	modify_date	Permissions_user
AspNetdb_ITA	aspnet_Roles_FullAccess	DATABASE_ROLE	2009-10-01 12:42:27.560	2009-10-01 12:42:27.560	aspnet_Roles_BasicAccess,aspnet_Roles_ReportingAccess
AspNetdb_ITA	aspnet_Roles_ReportingAccess	DATABASE_ROLE	2009-10-01 12:42:27.560	2009-10-01 12:42:27.560	
AspNetdb_ITA	aspnet_WebEvent_FullAccess	DATABASE_ROLE	2009-10-01 12:42:27.590	2009-10-01 12:42:27.590	
AspNetdb_ITA	AU\cflowers	WINDOWS_USER	2009-10-01 11:09:26.410	2009-10-01 11:09:26.410	db_owner,db_securityadmin
AspNetdb_ITA	AU\jsilberb	WINDOWS_USER	2009-10-01 11:08:39.563	2009-10-01 11:08:39.563	db_owner,db_securityadmin
AspNetdb_ITA	AU\svc_itaprod	WINDOWS_USER	2009-10-01 11:02:31.387	2009-10-01 11:02:31.387	db_owner,db_securityadmin
AspNetdb_ITA	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:36:06.317	db_owner
AspNetdb_ITA	ITAUser	SQL_USER	2009-10-01 12:18:54.307	2009-10-01 12:18:54.307	db_owner
AspNetdb_ITA	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
Auction	Administrators	WINDOWS_GROUP	2005-07-12 12:00:00.687	2005-07-12 12:00:01.293	db_owner
Auction	CTIntranet	SQL_USER	2005-07-14 17:05:27.670	2007-06-21 17:24:21.010	db_owner
Auction	CTIntranet2	SQL_USER	2006-07-22 12:07:48.473	2006-07-22 15:22:27.807	db_owner,db_datareader,db_datawriter
Auction	dbo (sa)	SQL_USER	2000-08-06 01:27:55.170	2016-04-02 16:36:28.897	db_owner
Auction	public	DATABASE_ROLE	2000-08-06 01:27:55.187	2007-06-21 17:20:56.647	
BIPortal_Farm_Config	AU\AUNNIMSMSS01$	WINDOWS_USER	2008-02-13 13:41:16.297	2008-02-13 13:41:16.297	WSS_Content_Application_Pools
BIPortal_Farm_Config	AU\DMAdmins	WINDOWS_GROUP	2008-02-13 13:49:46.560	2008-02-13 13:49:46.560	db_owner
BIPortal_Farm_Config	AU\dmunning	WINDOWS_USER	2009-07-01 14:30:44.740	2009-07-01 14:30:44.740	
BIPortal_Farm_Config	AU\DZHOU	WINDOWS_USER	2013-01-14 16:25:39.577	2013-01-14 16:25:39.577	db_owner
BIPortal_Farm_Config	AU\gtsiliri	WINDOWS_USER	2013-01-15 10:03:30.543	2013-01-15 10:03:30.543	db_owner
BIPortal_Farm_Config	AU\iladdu	WINDOWS_USER	2016-09-21 15:18:06.153	2016-09-21 15:18:06.153	db_owner
BIPortal_Farm_Config	AU\jbrown	WINDOWS_USER	2010-12-09 11:07:55.297	2010-12-09 11:07:55.297	db_owner
BIPortal_Farm_Config	AU\jtheeng	WINDOWS_USER	2009-04-29 19:38:44.007	2009-04-29 19:38:44.007	db_owner
BIPortal_Farm_Config	AU\klin	WINDOWS_USER	2009-11-21 00:17:18.797	2009-11-21 00:17:18.797	db_owner
BIPortal_Farm_Config	AU\mchavan	WINDOWS_USER	2010-03-11 16:31:41.750	2010-03-11 16:31:41.750	db_owner
BIPortal_Farm_Config	AU\onovik	WINDOWS_USER	2013-06-25 11:09:58.313	2013-06-25 11:09:58.313	db_owner
BIPortal_Farm_Config	AU\oyoon	WINDOWS_USER	2008-02-15 11:48:12.517	2008-02-15 11:48:12.517	db_owner
BIPortal_Farm_Config	AU\ppablo	WINDOWS_USER	2008-10-21 10:18:44.777	2008-10-21 10:18:44.777	db_owner
BIPortal_Farm_Config	AU\svc_moss_content	WINDOWS_USER	2008-02-14 11:54:10.540	2008-02-14 11:54:10.540	WSS_Content_Application_Pools
BIPortal_Farm_Config	AU\svc_moss_crawl	WINDOWS_USER	2008-02-13 13:52:40.847	2008-02-13 13:52:40.847	WSS_Content_Application_Pools
BIPortal_Farm_Config	AU\svc_moss_farm	WINDOWS_USER	2008-02-13 13:40:20.153	2008-02-13 13:40:20.153	WSS_Content_Application_Pools,db_owner
BIPortal_Farm_Config	AU\svc_moss_ProfileImp	WINDOWS_USER	2008-02-15 19:46:19.043	2008-02-15 19:46:19.043	WSS_Content_Application_Pools
BIPortal_Farm_Config	AU\svc_moss_search	WINDOWS_USER	2008-02-13 13:51:01.000	2008-02-13 13:51:01.000	WSS_Content_Application_Pools,db_owner
BIPortal_Farm_Config	AU\svc_moss_service	WINDOWS_USER	2008-02-13 14:38:26.853	2008-02-13 14:38:26.853	WSS_Content_Application_Pools,db_owner
BIPortal_Farm_Config	AU\svc_moss_ServicePool	WINDOWS_USER	2008-02-13 14:15:47.083	2008-02-13 14:15:47.083	WSS_Content_Application_Pools
BIPortal_Farm_Config	AU\svc_sqladmin	WINDOWS_USER	2008-03-12 18:16:36.713	2008-03-12 18:16:36.713	WSS_Content_Application_Pools
BIPortal_Farm_Config	BUILTIN\Administrators	WINDOWS_GROUP	2008-02-13 13:41:10.297	2008-02-13 13:41:10.297	db_owner
BIPortal_Farm_Config	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:36:41.260	db_owner
BIPortal_Farm_Config	NT AUTHORITY\NETWORK SERVICE	WINDOWS_USER	2008-03-12 18:16:32.073	2008-03-12 18:16:32.073	WSS_Content_Application_Pools
BIPortal_Farm_Config	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_Farm_Config	WSS_Content_Application_Pools	DATABASE_ROLE	2008-02-13 13:40:10.967	2008-02-13 13:40:10.967	
BIPortal_SSP_DB	AU\gtsiliri	WINDOWS_USER	2013-01-15 15:45:47.173	2013-01-15 15:45:47.173	db_owner
BIPortal_SSP_DB	AU\svc_moss_content	WINDOWS_USER	2008-02-14 11:54:35.713	2008-02-14 11:54:35.713	db_owner
BIPortal_SSP_DB	au\svc_moss_search	WINDOWS_USER	2008-02-13 14:39:57.370	2008-02-13 14:39:57.370	db_owner
BIPortal_SSP_DB	AU\svc_moss_service	WINDOWS_USER	2008-02-13 14:39:49.277	2008-02-13 14:39:49.277	db_owner
BIPortal_SSP_DB	au\svc_moss_servicepool	WINDOWS_USER	2008-02-13 14:39:49.387	2008-02-13 14:39:49.387	db_owner
BIPortal_SSP_DB	dbo (AU\svc_moss_farm)	WINDOWS_USER	2003-04-08 09:10:42.287	2016-04-02 16:37:50.117	db_owner
BIPortal_SSP_DB	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_SSP_Search_DB	AU\gtsiliri	WINDOWS_USER	2013-01-15 15:45:47.500	2013-01-15 15:45:47.500	db_owner
BIPortal_SSP_Search_DB	AU\svc_moss_content	WINDOWS_USER	2008-02-14 11:54:35.807	2008-02-14 11:54:35.807	db_owner
BIPortal_SSP_Search_DB	au\svc_moss_search	WINDOWS_USER	2008-02-13 14:39:57.357	2008-02-13 14:39:57.357	db_owner
BIPortal_SSP_Search_DB	AU\svc_moss_service	WINDOWS_USER	2008-02-13 14:39:54.810	2008-02-13 14:39:54.810	db_owner
BIPortal_SSP_Search_DB	au\svc_moss_servicepool	WINDOWS_USER	2008-02-13 14:39:54.903	2008-02-13 14:39:54.903	db_owner
BIPortal_SSP_Search_DB	dbo (AU\svc_moss_farm)	WINDOWS_USER	2003-04-08 09:10:42.287	2016-04-02 16:38:05.363	db_owner
BIPortal_SSP_Search_DB	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_SSP_WSS_Content	AU\svc_moss_content	WINDOWS_USER	2008-03-19 17:44:32.023	2008-03-19 17:44:32.023	db_owner
